Recebido de loadbalance1:3000 no ciclo 0: 0;1;1748720829.063686;1748720829.065141;1748720829.067749;1748720832.899431
Recebido de loadbalance2:3100 no ciclo 0: 0;2;1748720830.065211;1748720830.066864;1748720830.069401;1748720833.271249
Recebido de loadbalance1:3000 no ciclo 0: 0;3;1748720831.067261;1748720831.068797;1748720831.071272;1748720834.396955
Recebido de loadbalance2:3100 no ciclo 0: 0;4;1748720832.069604;1748720832.070883;1748720832.073866;1748720835.827451
Recebido de loadbalance1:3000 no ciclo 0: 0;5;1748720833.074469;1748720833.075961;1748720833.078254;1748720836.119805
Recebido de loadbalance2:3100 no ciclo 0: 0;6;1748720834.076647;1748720834.078433;1748720834.081364;1748720837.97983
Recebido de loadbalance1:3000 no ciclo 0: 0;7;1748720835.081109;1748720835.082539;1748720835.085338;1748720838.574075
Recebido de loadbalance2:3100 no ciclo 0: 0;8;1748720836.082782;1748720836.084148;1748720836.086922;1748720838.904538
Recebido de loadbalance1:3000 no ciclo 0: 0;9;1748720837.086879;1748720837.088258;1748720837.090548;1748720840.782173
Recebido de loadbalance2:3100 no ciclo 0: 0;10;1748720838.088548;1748720838.090721;1748720838.093807;1748720841.710473
Ciclo 0 finalizado.
Recebido de loadbalance1:3000 no ciclo 1: 1;1;1748720841.715855;1748720841.71769;1748720841.721029;1748720844.822558
Recebido de loadbalance2:3100 no ciclo 1: 1;2;1748720842.720409;1748720842.721758;1748720842.724347;1748720845.674174
Recebido de loadbalance1:3000 no ciclo 1: 1;3;1748720843.722068;1748720843.723368;1748720843.726504;1748720847.109989
Recebido de loadbalance1:3000 no ciclo 1: 1;5;1748720845.728286;1748720845.729556;1748720845.732213;1748720849.241991
Recebido de loadbalance2:3100 no ciclo 1: 1;6;1748720846.732615;1748720846.733997;1748720846.736649;1748720850.163268
Recebido de loadbalance1:3000 no ciclo 1: 1;7;1748720847.734397;1748720847.736059;1748720847.738863;1748720851.344468
Recebido de loadbalance2:3100 no ciclo 1: 1;8;1748720848.736768;1748720848.738456;1748720848.741222;1748720852.215896
Recebido de loadbalance2:3100 no ciclo 1: 1;4;1748720844.723964;1748720844.725441;1748720844.728419;1748720852.826533
Recebido de loadbalance1:3000 no ciclo 1: 1;9;1748720849.738897;1748720849.740261;1748720849.743249;1748720853.260774
Recebido de loadbalance2:3100 no ciclo 1: 1;10;1748720850.740462;1748720850.741922;1748720850.74435;1748720854.156765
Ciclo 1 finalizado.
Recebido de loadbalance2:3100 no ciclo 2: 2;6;1748720859.172607;1748720859.17386;1748720859.175866;1748720862.144451
Recebido de loadbalance2:3100 no ciclo 2: 2;2;1748720855.166077;1748720855.168068;1748720855.170608;1748720862.323803
Recebido de loadbalance1:3000 no ciclo 2: 2;5;1748720858.17107;1748720858.172301;1748720858.174999;1748720862.324165
Recebido de loadbalance2:3100 no ciclo 2: 2;4;1748720857.169553;1748720857.17081;1748720857.173918;1748720862.869344
Recebido de loadbalance1:3000 no ciclo 2: 2;3;1748720856.168047;1748720856.169218;1748720856.175135;1748720863.137451
Recebido de loadbalance1:3000 no ciclo 2: 2;7;1748720860.177138;1748720860.179022;1748720860.182399;1748720863.577849
Recebido de loadbalance2:3100 no ciclo 2: 2;8;1748720861.181935;1748720861.183985;1748720861.18723;1748720865.331297
Recebido de loadbalance1:3000 no ciclo 2: 2;1;1748720854.160915;1748720854.16268;1748720854.168109;1748720867.366635
Recebido de loadbalance2:3100 no ciclo 2: 2;10;1748720863.188528;1748720863.189791;1748720863.192265;1748720896.142738
Recebido de loadbalance1:3000 no ciclo 2: 2;9;1748720862.186731;1748720862.187893;1748720862.191192;1748720896.858912
Ciclo 2 finalizado.
